package_key,package_name,version,source_zip_name,expected_files,package_type,import_scope,target_repo,suggested_target_path,import_priority,runtime_use,production_use_allowed,ready_for_asset_review,ready_for_pilot,ready_for_runtime,ready_for_production,allowed_codex_actions,forbidden_codex_actions,required_validation,blocking_conditions,notes
B5-CONTENT-0,内容资产结构规范,v0.1.1,B5-CONTENT-0_v0_1_1_file_package.zip,17,governance,governance_only,fap-api,backend/content_assets/big5/result_page_v2/governance/content_asset_factory_spec/,P0,not_runtime,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_coverage_report"", ""generate_scan_only_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation""]","[""governance only; not runtime content""]","Defines schema, band key rules, QA templates, ready_for_pilot hard gate, and batch plan."
B5-A-lite,Source Authority + Module Mapping Governance,v0.1,B5-A-lite_v0_1_file_package.zip,15,source_authority,governance_only,fap-api,backend/content_assets/big5/result_page_v2/governance/,P0,not_runtime,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_mapping_report"", ""generate_scan_only_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation""]","[""governance only; not runtime content""]",Declares V2.0 as module master and two万字稿 as O59 canonical body master.
B5-B1-O59-core-body,O59 Canonical Core Body Asset Import,v0.1,B5-B1_O59_canonical_core_body_v0_1_file_package.zip,13,core_body,staging_core_body,fap-api,backend/content_assets/big5/result_page_v2/core_body/o59_canonical/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""generate_fixture"", ""validate_files"", ""generate_preview_payload""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""body_zh_required_check_for_body_asset_packages"", ""anti_target_render_term_scan"", ""no_fixed_type_scan"", ""no_diagnosis_language_scan"", ""no_hiring_language_scan""]","[""rendered preview execution not passed"", ""not generalized to all users""]",Covers 8 sections for sensitive_independent_thinker; source of O59 canonical body.
B5-B1-Preview,O59 Rendered Preview QA Pack,v0.1,B5-B1_O59_rendered_preview_qa_v0_1_file_package.zip,16,rendered_preview_qa,staging_qa_contract,fap-api,backend/content_assets/big5/result_page_v2/qa/rendered_preview/o59_canonical/,P0,not_runtime,false,true,false,false,false,"[""stage_content_assets"", ""create_test_fixture"", ""add_contract_test"", ""run_rendered_preview_test""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""rendered_preview_pending_surface_policy""]","[""definitions only; no rendered execution yet""]",Defines must-render/must-not-render and section surface contracts.
B5-CONTENT-1,五维 × 五档基础维度资产,v0.1,B5-CONTENT-1_trait_band_assets_v0_1_file_package.zip,13,trait_band_assets,staging_content_assets,fap-api,backend/content_assets/big5/result_page_v2/trait_band_assets/v0_1/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_coverage_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""body_zh_required_check_for_body_asset_packages"", ""anti_target_render_term_scan"", ""no_fixed_type_scan"", ""no_diagnosis_language_scan"", ""no_hiring_language_scan""]","[""not imported"", ""not rendered QA passed""]",25 domain-band assets; O59 key support is O3_C2_E2_A3_N4.
B5-CONTENT-2,维度耦合 / 组合动力资产,v0.1,B5-CONTENT-2_coupling_assets_v0_1_file_package.zip,13,coupling_assets,staging_content_assets,fap-api,backend/content_assets/big5/result_page_v2/coupling_assets/v0_1/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_coverage_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""body_zh_required_check_for_body_asset_packages"", ""anti_target_render_term_scan"", ""no_fixed_type_scan"", ""no_diagnosis_language_scan"", ""no_hiring_language_scan""]","[""not rendered QA passed""]",Covers O59's five core coupling routes.
B5-CONTENT-3,Facet 刻面解释 / 反直觉重构资产,v0.1,B5-CONTENT-3_facet_assets_v0_1_file_package.zip,13,facet_assets,staging_content_assets,fap-api,backend/content_assets/big5/result_page_v2/facet_assets/v0_1/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_coverage_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""body_zh_required_check_for_body_asset_packages"", ""anti_target_render_term_scan"", ""no_fixed_type_scan"", ""no_diagnosis_language_scan"", ""no_hiring_language_scan""]","[""not rendered QA passed""]",All 30 facets; supports O59反直觉发现 and top facet explanations.
B5-CONTENT-4,代表性画像 / 标准画像路由资产,v0.1,B5-CONTENT-4_canonical_profile_assets_v0_1_file_package.zip,14,canonical_profile_routes,staging_content_assets,fap-api,backend/content_assets/big5/result_page_v2/canonical_profiles/v0_1/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_coverage_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""body_zh_required_check_for_body_asset_packages"", ""anti_target_render_term_scan"", ""no_fixed_type_scan"", ""no_diagnosis_language_scan"", ""no_hiring_language_scan""]","[""not rendered QA passed"", ""not runtime mapping approved""]",O59 profile references B5-B1 instead of rewriting it.
B5-CONTENT-5,场景应用 / 行动矩阵资产,v0.1.1,B5-CONTENT-5_scenario_action_assets_v0_1_1_file_package.zip,14,scenario_action_assets,staging_content_assets,fap-api,backend/content_assets/big5/result_page_v2/scenario_action_assets/v0_1_1/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_files"", ""generate_coverage_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""body_zh_required_check_for_body_asset_packages"", ""anti_target_render_term_scan"", ""no_fixed_type_scan"", ""no_diagnosis_language_scan"", ""no_hiring_language_scan""]","[""not rendered QA passed"", ""not scenario selector approved""]",160 scenario action assets; v0.1.1 fixes checksum rule only.
B5-CONTENT-6,3125 五维组合路由矩阵,v0.1.1,B5-CONTENT-6_3125_route_matrix_v0_1_1_file_package.zip,20,route_matrix,staging_route_matrix,fap-api,backend/content_assets/big5/result_page_v2/route_matrix/v0_1_1/,P0,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_jsonl_counts"", ""validate_combination_space"", ""generate_coverage_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""JSONL_row_count_validation"", ""3125_row_coverage_validation"", ""body_zh_forbidden_check_for_route_matrix"", ""O59_canonical_row_validation""]","[""route matrix not connected"", ""selector QA not passed""]",v0.1.1 fixes low-confidence profile label leakage; O59 row remains direct_profile_route.
B5-CONTENT-7,内容资产总索引 / Master Asset Catalog,v0.1,B5-CONTENT-7_master_asset_catalog_v0_1_file_package.zip,19,qa_summary,governance_only,fap-api,backend/content_assets/big5/result_page_v2/master_catalog/v0_1/,P0,not_runtime,false,true,false,false,false,"[""stage_docs"", ""validate_files"", ""generate_inventory_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation""]","[""catalog only; not runtime content""]",Summarizes all packages and gaps. Does not add user-facing content.
B5-B1-Preview-Codex-Handoff,O59 Rendered Preview Execution Brief,v0.1.1,B5-B1_O59_rendered_preview_codex_handoff_v0_1_1_file_package.zip,14,codex_handoff,handoff_only,fap-api + fap-web,backend/content_assets/big5/result_page_v2/qa/handoff/o59_rendered_preview/ and fap-web/tests/fixtures/big5/result_page_v2/,P1,not_runtime,false,true,false,false,false,"[""stage_docs"", ""create_test_plan"", ""add_contract_test_if_supported""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation""]","[""handoff only; no test execution yet""]",Defines tested/pending/passed/failed surface output structure.
selector-ready-assets-v0.3-p0-full,325 selector-ready assets v0.3 P0 full candidate,v0.3_p0_full,external: big5_result_page_v2_selector_ready_assets_v0_3_p0_full_bundle.zip / backend staging copy assets.json,6,selector_ready_assets,staging_selector_assets,fap-api,backend/content_assets/big5/result_page_v2/selector_ready_assets/v0_3_p0_full/,P1,staging_only,false,true,false,false,false,"[""stage_content_assets"", ""validate_selector_references"", ""generate_reference_consistency_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""selector_reference_consistency_validation""]","[""runtime_ready=false"", ""known coverage warnings"", ""not reconciled with B5-CONTENT-1~6""]",Has asset_count 325 and sha proof in prior scan; not B5-B body.
selector-qa-policy-v0.1,Golden Cases + Selection Policy + Conflict Resolution,v0.1,big5_result_page_v2_selector_qa_policy_v0_1_bundle.zip,5,selector_qa_policy,staging_selector_qa_policy,fap-api,backend/content_assets/big5/result_page_v2/selector_qa_policy/v0_1/,P1,staging_only,false,false,false,false,false,"[""stage_content_assets"", ""validate_golden_cases"", ""validate_policy_parse"", ""generate_gap_report""]","[""modify_routes"", ""modify_controllers"", ""modify_scoring"", ""modify_migrations"", ""modify_models"", ""modify_frontend_runtime"", ""wire_runtime_composer"", ""set_production_use_allowed_true"", ""turn_staging_package_into_production"", ""generate_new_body_copy"", ""use_frontend_fallback_for_personality_body"", ""treat_qa_policy_as_body_assets"", ""treat_325_selector_assets_as_production_ready"", ""import_to_production"", ""change_content_meaning""]","[""zip_file_count_validation"", ""package_manifest_validation"", ""SHA256SUMS_validation"", ""JSON_parse_validation"", ""CSV_parse_validation"", ""required_field_validation"", ""duplicate_key_validation"", ""runtime_flag_validation"", ""production_flag_validation"", ""golden_case_parse_validation"", ""selection_policy_parse_validation"", ""conflict_resolution_parse_validation"", ""known_p0_gap_scan""]","[""missing O59 canonical case"", ""golden_group missing"", ""slot/module naming drift"", ""banned scan incomplete""]",Not content body; currently not a passing selector QA gate.
