package_key,package_name,version,package_type,asset_scope,source_role,is_governance_package,is_body_asset_package,is_selector_package,is_route_matrix_package,is_qa_policy_package,asset_count,row_count,file_count,source_documents,depends_on,consumed_by,runtime_use,production_use_allowed,ready_for_asset_review,ready_for_pilot,ready_for_runtime,ready_for_production,import_priority,required_next_qa,blocking_reasons,recommended_codex_action,notes
B5-CONTENT-0,内容资产结构规范,v0.1.1,governance,schema / QA templates / generation batch plan,asset_factory_foundation,True,False,False,False,False,0,0,17,"[""V2.0正式稿"", ""两万字完整稿"", ""职业板块QA治理经验""]",[],"[""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-CONTENT-4"", ""B5-CONTENT-5"", ""B5-CONTENT-6"", ""B5-CONTENT-7""]",not_runtime,False,True,False,False,False,P0,"[""schema consistency QA"", ""package checksum QA""]","[""governance only; not runtime content""]",stage package as governance spec; do not wire runtime,"Defines schema, band key rules, QA templates, ready_for_pilot hard gate, and batch plan."
B5-A-lite,Source Authority + Module Mapping Governance,v0.1,source_authority,source authority / module mapping / runtime decision / anti-target terms / B5-B1 readiness,authority_governance,True,False,False,False,False,0,0,15,"[""B5-CONTENT-0 v0.1.1"", ""V2.0正式稿"", ""两万字完整稿"", ""当前8-section skeleton"", ""325 selector-ready assets"", ""QA/Policy pack""]","[""B5-CONTENT-0""]","[""B5-B1"", ""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-CONTENT-4"", ""B5-CONTENT-5"", ""B5-CONTENT-6""]",not_runtime,False,True,False,False,False,P0,"[""source authority QA"", ""mapping QA""]","[""governance only; not runtime content""]",stage governance files before body import; do not edit app/runtime,Declares V2.0 as module master and two万字稿 as O59 canonical body master.
B5-B1-O59-core-body,O59 Canonical Core Body Asset Import,v0.1,core_body,O59 / C32 / E20 / A55 / N68 8-section core body staging assets,canonical_body_seed,False,True,False,False,False,79,79,13,"[""V2.0正式稿"", ""两万字完整稿"", ""B5-A-lite""]","[""B5-CONTENT-0"", ""B5-A-lite""]","[""B5-B1-Preview"", ""B5-B1-Preview-Codex-Handoff"", ""B5-CONTENT-4"", ""B5-CONTENT-6""]",staging_only,False,True,False,False,False,P0,"[""rendered preview QA"", ""safety QA"", ""editorial QA""]","[""rendered preview execution not passed"", ""not generalized to all users""]",stage as O59 canonical body fixture; do not generalize,Covers 8 sections for sensitive_independent_thinker; source of O59 canonical body.
B5-B1-Preview,O59 Rendered Preview QA Pack,v0.1,rendered_preview_qa,rendered QA expectations for desktop/mobile/pdf/share/history/compare,rendered_preview_gate_definition,True,False,False,False,False,0,0,16,"[""B5-B1 core body"", ""B5-A-lite anti-target terms""]","[""B5-B1-O59-core-body"", ""B5-A-lite""]","[""B5-B1-Preview-Codex-Handoff"", ""future rendered QA execution""]",not_runtime,False,True,False,False,False,P0,"[""actual fap-web rendered preview execution""]","[""definitions only; no rendered execution yet""]",use as QA contract input for fap-web tests,Defines must-render/must-not-render and section surface contracts.
B5-B1-Preview-Codex-Handoff,O59 Rendered Preview Execution Brief,v0.1.1,codex_handoff,fap-web rendered preview contract test handoff,codex_execution_brief,True,False,False,False,False,0,0,14,"[""B5-B1-Preview"", ""B5-B1 fixture"", ""fap-api PR #1129 fixture reference""]","[""B5-B1-Preview"", ""B5-B1-O59-core-body""]","[""fap-web rendered preview contract test""]",not_runtime,False,True,False,False,False,P1,"[""Codex fap-web execution"", ""pending surface accounting""]","[""handoff only; no test execution yet""]",create fap-web contract test only when explicitly requested,Defines tested/pending/passed/failed surface output structure.
B5-CONTENT-1,五维 × 五档基础维度资产,v0.1,trait_band_assets,5 traits × 5 internal bands,L2_trait_band_asset_library,False,True,False,False,False,25,25,13,"[""B5-CONTENT-0"", ""B5-A-lite"", ""V2.0正式稿"", ""两万字完整稿""]","[""B5-CONTENT-0"", ""B5-A-lite""]","[""B5-CONTENT-2"", ""B5-CONTENT-4"", ""B5-CONTENT-5"", ""B5-CONTENT-6""]",staging_only,False,True,False,False,False,P0,"[""asset review"", ""rendered preview when selected""]","[""not imported"", ""not rendered QA passed""]",stage import and validate as trait-band library,25 domain-band assets; O59 key support is O3_C2_E2_A3_N4.
B5-CONTENT-2,维度耦合 / 组合动力资产,v0.1,coupling_assets,12 coupling groups × 5 asset roles,L4_coupling_asset_library,False,True,False,False,False,60,60,13,"[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1"", ""V2.0正式稿"", ""两万字完整稿""]","[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1""]","[""B5-CONTENT-4"", ""B5-CONTENT-5"", ""B5-CONTENT-6""]",staging_only,False,True,False,False,False,P0,"[""asset review"", ""reference consistency QA""]","[""not rendered QA passed""]",stage import and validate references,Covers O59's five core coupling routes.
B5-CONTENT-3,Facet 刻面解释 / 反直觉重构资产,v0.1,facet_assets,30 facets × glossary/high/low reframe,L5_facet_precision_asset_library,False,True,False,False,False,90,90,13,"[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1"", ""B5-CONTENT-2"", ""V2.0正式稿"", ""两万字完整稿""]","[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1"", ""B5-CONTENT-2""]","[""B5-CONTENT-4"", ""B5-CONTENT-5"", ""B5-CONTENT-6""]",staging_only,False,True,False,False,False,P0,"[""facet inference boundary QA"", ""rendered facet preview QA""]","[""not rendered QA passed""]",stage import and validate facet_support fields,All 30 facets; supports O59反直觉发现 and top facet explanations.
B5-CONTENT-4,代表性画像 / 标准画像路由资产,v0.1,canonical_profile_routes,8 canonical profiles × 8 sections,L1_core_body_route_library,False,False,True,False,False,64,64,14,"[""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-B1""]","[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-B1-O59-core-body""]","[""B5-CONTENT-5"", ""B5-CONTENT-6""]",staging_only,False,True,False,False,False,P0,"[""profile label safety QA"", ""route consistency QA""]","[""not rendered QA passed"", ""not runtime mapping approved""]",stage import and validate profile metadata; do not expose as fixed type,O59 profile references B5-B1 instead of rewriting it.
B5-CONTENT-5,场景应用 / 行动矩阵资产,v0.1.1,scenario_action_assets,8 canonical profiles × 5 scenarios × 4 asset roles,L6_scenario_action_asset_library,False,True,False,False,False,160,160,14,"[""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-CONTENT-4"", ""V2.0正式稿""]","[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-CONTENT-4""]","[""B5-CONTENT-6""]",staging_only,False,True,False,False,False,P0,"[""share safety QA"", ""surface-level action QA""]","[""not rendered QA passed"", ""not scenario selector approved""]",stage import and validate scenario/profile matrix,160 scenario action assets; v0.1.1 fixes checksum rule only.
B5-CONTENT-6,3125 五维组合路由矩阵,v0.1.1,route_matrix,5^5 combination route rows,combination_route_matrix,False,False,True,True,False,0,3125,20,"[""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-CONTENT-4"", ""B5-CONTENT-5""]","[""B5-CONTENT-0"", ""B5-A-lite"", ""B5-CONTENT-1"", ""B5-CONTENT-2"", ""B5-CONTENT-3"", ""B5-CONTENT-4"", ""B5-CONTENT-5""]","[""future selector/composer staging""]",staging_only,False,True,False,False,False,P0,"[""route reference consistency QA"", ""semantic consistency QA"", ""rendered preview of representative rows""]","[""route matrix not connected"", ""selector QA not passed""]",stage import and validate all 3125 route rows; do not wire runtime,v0.1.1 fixes low-confidence profile label leakage; O59 row remains direct_profile_route.
selector-ready-assets-v0.3-p0-full,325 selector-ready assets v0.3 P0 full candidate,v0.3_p0_full,selector_ready_assets,325 selector candidate blocks across 12 registries,selector_candidates,False,False,True,False,False,325,325,6,"[""V2.0正式稿"", ""selector asset bundle""]","[""B5-A-lite""]","[""future selector QA"", ""future composer staging""]",staging_only,False,True,False,False,False,P1,"[""reference consistency with B5-CONTENT-1~6"", ""coverage warning review"", ""rendered regression QA""]","[""runtime_ready=false"", ""known coverage warnings"", ""not reconciled with B5-CONTENT-1~6""]",staging import only after reference consistency check; do not runtime wire,Has asset_count 325 and sha proof in prior scan; not B5-B body.
selector-qa-policy-v0.1,Golden Cases + Selection Policy + Conflict Resolution,v0.1,selector_qa_policy,30 golden cases + policy + conflict rules,selector_qa_policy_pack,True,False,False,False,True,0,30,5,"[""QA policy bundle"", ""325 selector-ready assets""]","[""selector-ready-assets-v0.3-p0-full""]","[""future selector QA"", ""B5-H/B5-J governance""]",staging_only,False,False,False,False,False,P1,"[""add O59 production canonical case"", ""fix golden_group"", ""fix slot naming"", ""expand banned terms""]","[""missing O59 canonical case"", ""golden_group missing"", ""slot/module naming drift"", ""banned scan incomplete""]",repair P0 policy issues before using as gate,Not content body; currently not a passing selector QA gate.
