question_id,text_en,text_zh,dimension,direction
1,"I tend to worry a lot.","我经常感到焦虑或莫名担忧。",N,1
2,"I make friends easily.","我能很轻松地结交新朋友。",E,1
3,"I have a rich imagination.","我有着天马行空的想象力。",O,1
4,"I generally trust people.","我倾向于信任他人，不轻易怀疑。",A,1
5,"I finish what I start.","只要是我开始做的事，就一定会负责到底。",C,1
6,"I get angry quickly.","我很容易被惹恼或发脾气。",N,1
7,"I enjoy big parties and busy gatherings.","我非常享受热闹的聚会和人多的社交场合。",E,1
8,"Art and creativity matter to me.","我认为艺术和创造力在生活中不可或缺。",O,1
9,"At times, I bend the truth to get what I want.","为了达到目的，我有时不介意稍微扭曲事实。",A,-1
10,"I like things neat and orderly.","我受不了杂乱无章，喜欢把东西收拾得井井有条。",C,1
11,"I often feel down.","我经常会感到一阵莫名的情绪低落。",N,1
12,"I like taking the lead.","在团队中，我喜欢主动承担领导和掌控的角色。",E,1
13,"My feelings can be deep and varied.","我能体验到极其深刻且丰富的情感波动。",O,1
14,"I enjoy helping people.","我发自内心地喜欢帮助遇到困难的人。",A,1
15,"I keep my promises.","我是个重诺守信的人，说到就一定会做到。",C,1
16,"I find it hard to start conversations with strangers.","让我主动和陌生人开启话题会感到很困难。",N,1
17,"I stay busy and active most of the time.","我总是不停地忙碌，享受充满活力的状态。",E,1
18,"I prefer variety over routine.","相比于一成不变的日常，我更喜欢生活充满变化。",O,1
19,"I enjoy arguing just to win.","我有时会仅仅为了享受赢的感觉而和别人激烈争论。",A,-1
20,"I put in a lot of effort at work or study.","对待工作和学习，我一直非常刻苦。",C,1
21,"I sometimes overdo things and later regret it.","我有时会过度放纵自己，事后又感到后悔。",N,1
22,"I look for excitement.","我追求刺激，总在寻找令人兴奋的新鲜事物。",E,1
23,"I enjoy learning challenging topics.","我喜欢阅读或钻研那些充满挑战性的深刻话题。",O,1
24,"I often think I am better than most people.","我骨子里觉得自己比大多数人都要优秀。",A,-1
25,"I prepare in advance.","做任何事之前，我都会提前做好充分的准备。",C,1
26,"I panic easily under pressure.","在巨大的压力下，我很容易惊慌失措。",N,1
27,"I am usually cheerful.","我通常是个心情愉悦、充满乐观能量的人。",E,1
28,"I am open to new ideas and reforms.","我以开放的心态拥抱新思想和社会的变革。",O,1
29,"I feel for people who are struggling.","看到那些处境艰难的人，我会深感同情和难受。",A,1
30,"I often act on impulse.","我常常凭一时冲动行事，很少顾及后果。",C,-1
31,"I tend to expect the worst.","遇到事情时，我总是习惯性地往最坏的方向想。",N,1
32,"I feel at ease around people.","在人群中待着让我感到非常自在和放松。",E,1
33,"I enjoy letting my mind wander into fantasy.","我喜欢让思绪游离，沉浸在自己的幻想世界中。",O,1
34,"I assume most people mean well.","我相信绝大多数人的初衷和本意都是善良的。",A,1
35,"I take pride in doing things carefully.","只要是我接手的事，我就一定会要求自己做到最好。",C,1
36,"Small things annoy me easily.","日常生活中微小的不顺心也很容易让我烦躁。",N,1
37,"At parties, I talk with many different people.","在聚会上，我总是主动去和形形色色的人聊天。",E,1
38,"I notice beauty in everyday things.","我总能在平凡的日常事物中发现不易察觉的美。",O,1
39,"I don’t mind cutting corners to get ahead.","为了获得成功，我不介意走一些违背规则的“捷径”。",A,-1
40,"I often forget to put things back where they belong.","我经常用完东西后忘记把它们放回原处。",C,-1
41,"I am often critical of myself.","有时候我会非常严苛地自我批评，甚至讨厌自己。",N,1
42,"I like to direct and organize others.","我喜欢指挥别人，并把一切安排得井井有条。",E,1
43,"I am very aware of my own emotions.","我有着极其敏锐的情绪觉察力。",O,1
44,"I care about other people.","我十分在乎他人的福祉与感受。",A,1
45,"I am honest, even when it is inconvenient.","哪怕会带来麻烦，我也会坚持说出真相。",C,1
46,"I avoid being the center of attention.","我极力避免成为众人瞩目和讨论的焦点。",N,1
47,"I find it hard to sit still for long.","我是个闲不住的人，很难长时间安静地坐着。",E,1
48,"I stick to familiar ways rather than trying new ones.","我喜欢固守熟悉的事物，不太愿意尝试新方法。",O,-1
49,"When upset, I raise my voice at people.","情绪失控时，我会忍不住对别人大吼大叫。",A,-1
50,"I often do more than what is required.","我做出的成绩和努力通常会超出别人对我的期望。",C,1
51,"I rarely overdo it.","我极少被欲望冲昏头脑，很少做出过火的事。",N,-1
52,"I go out of my way to try adventurous things.","我会特意偏离常规，去寻求冒险的体验。",E,1
53,"I avoid deep philosophical topics.","我极力避免参与那些深奥复杂的哲学讨论。",O,-1
54,"I think highly of myself.","我对自己的评价极高，甚至有些自命不凡。",A,-1
55,"I follow through on my plans.","我能够切实地执行并落实我定下的计划。",C,1
56,"I get overwhelmed easily.","我常感觉自己快被生活中的各种琐事压垮了。",N,1
57,"I often have a good time.","我的生活中充满了乐趣，我很会享受当下。",E,1
58,"I’m comfortable with different viewpoints about right and wrong.","我认为世上的事没有绝对的非黑即白。",O,1
59,"I feel compassion for people who have less than I do.","我对那些拥有的比我少的人深表同情。",A,1
60,"I make decisions too quickly.","我做决定的速度常常快得缺乏深思熟虑。",C,-1
61,"I have many fears.","在生活中，我有很多害怕和恐惧的事物。",N,1
62,"I keep my distance from people when I can.","如果可以选择，我会尽量和人群保持距离。",E,-1
63,"I like to daydream.","我喜欢任由大脑漫游，做着天马行空的白日梦。",O,1
64,"I usually believe what people tell me.","对于别人告诉我的事，我通常会选择相信。",A,1
65,"I work in an organized, step-by-step way.","我处理任务时非常有条理，总是按部就班地进行。",C,1
66,"I lose my temper easily.","我经常控制不住地乱发脾气。",N,1
67,"I prefer spending time alone.","比起融入集体，我更享受独自一人的时光。",E,-1
68,"Poetry doesn’t really appeal to me.","我对诗歌、纯文学这类事物毫无兴趣。",O,-1
69,"I sometimes use people to get what I want.","为了获取我想要的东西，我有时会利用别人。",A,-1
70,"I sometimes leave things messy.","我的个人空间常常处于一种凌乱的状态。",C,-1
71,"I often feel low in mood.","我有时会陷入难以自拔的低迷情绪中。",N,1
72,"I take charge in group situations.","在群体行动中，我总能自然而然地掌控局面。",E,1
73,"I rarely pay attention to my emotions.","我很少向内审视，不太关注自己的情绪反应。",O,-1
74,"I am not very sensitive to others’ feelings.","我对他人的感受和痛苦常常显得有些无动于衷。",A,-1
75,"I sometimes ignore rules.","我觉得规则就是用来打破的，我有时会无视它们。",C,-1
76,"I feel safest with a small circle of close friends.","只有在非常亲密的小圈子里，我才会感到安全。",N,1
77,"I keep myself busy in my free time.","即使在业余时间，我也把自己的生活安排得满满当当。",E,1
78,"I don’t like changes.","我极度反感生活或工作环境发生变动。",O,-1
79,"I can be rude to people.","在发生冲突时，我可能会表现得非常粗鲁伤人。",A,-1
80,"I do the minimum to get by.","我在工作和学习上只求及格，很少付出额外努力。",C,-1
81,"I resist temptations well.","我能轻易抵挡住各种诱惑，保持克制。",N,-1
82,"I enjoy taking risks.","我很享受承担一定风险所带来的刺激感。",E,1
83,"Abstract ideas are hard for me to understand.","我很难理解过于抽象、难以落地的复杂概念。",O,-1
84,"I see myself as superior to others.","我内心深处认为自己拥有超越常人的优越感。",A,-1
85,"I often waste time.","我经常虚度光阴，把时间浪费在毫无意义的事情上。",C,-1
86,"I feel unable to cope sometimes.","我有时会深陷无力感，觉得自己无法应对生活的难题。",N,1
87,"I genuinely enjoy life.","我发自内心地热爱生活，对周遭充满热情。",E,1
88,"I prefer strict rules and order in society.","我认为社会必须有极其严格的法律和秩序来约束。",O,-1
89,"Other people’s problems don’t interest me much.","我对别人的麻烦事一点也不感兴趣，不想卷入其中。",A,-1
90,"I jump into things without thinking them through.","我经常一拍脑门就行动，完全不考虑后果。",C,-1
91,"I get stressed easily.","我很容易因为外界的压力而感到精神紧张。",N,1
92,"I keep others at arm’s length.","我总是和别人保持一定的心理距离，不轻易交心。",E,-1
93,"I like getting absorbed in my thoughts.","我喜欢独自陷入深邃的思考之中。",O,1
94,"I tend to doubt people’s intentions.","我常常怀疑别人的动机，不认为他们是纯粹的好心。",A,-1
95,"I know how to get things done efficiently.","我清楚地知道如何高效地把事情办成。",C,1
96,"I am not easily annoyed.","我的情绪很稳定，很难被别人激怒或惹恼。",N,-1
97,"I avoid crowded places.","我极力避免去人群拥挤、嘈杂的地方。",E,-1
98,"I don’t enjoy art galleries or exhibitions.","我不喜欢去参观美术馆或各类艺术展览。",O,-1
99,"I can be uncooperative and get in the way.","我有时很不配合，甚至会故意阻碍他人的计划。",A,-1
100,"I leave my belongings scattered around.","我总是把自己的物品和零碎东西随手乱丢。",C,-1
101,"I feel comfortable with who I am.","我对真实的自己感到由衷的接纳与自在。",N,-1
102,"I prefer others to take the lead.","在群体中，我通常选择退居幕后，让别人出头。",E,-1
103,"I don’t really understand people who show strong emotions.","我很难理解那些将强烈情绪完全外露的人。",O,-1
104,"I don’t make time for other people.","我不想把自己的宝贵时间浪费在别人身上。",A,-1
105,"I sometimes fail to keep my promises.","我有时无法兑现自己的承诺，即使我曾经答应过。",C,-1
106,"Tough social situations don’t bother me much.","即使面对极其棘手的社交场合，我也不会感到慌乱。",N,-1
107,"I tend to be quiet and low-energy.","我的做事节奏总是比较慢，精力也显得不太充沛。",E,-1
108,"I feel attached to traditional ways of doing things.","我非常依恋并坚持传统的做事方式和价值观。",O,-1
109,"I like to get even when someone wrongs me.","如果有人冒犯了我，我一定会找机会“讨回公道”。",A,-1
110,"I sometimes put very little effort into my work.","我有时会在工作上敷衍了事，极不愿投入精力。",C,-1
111,"I can control my cravings and impulses.","我能像掌控机器一样，完美控制自己的各种渴望。",N,-1
112,"I like action and a bit of danger.","我渴望充满行动感的生活，甚至带有一点危险的气息。",E,1
113,"Theoretical discussions don’t interest me.","我对那些毫无实际用处的纯理论探讨毫无兴趣。",O,-1
114,"I like talking about my strengths.","我非常喜欢在聊天时向他人谈论自己的优势和成就。",A,-1
115,"I struggle to get started on tasks.","在开启一项新任务时，我总是拖拖拉拉、难以起步。",C,-1
116,"I stay calm under pressure.","在巨大的危机或压力下，我依然能保持绝对的冷静。",N,-1
117,"I usually look on the bright side.","无论遇到什么糟糕的情况，我总能看到积极的一面。",E,1
118,"I think society should be tough on crime.","我认为对待犯错的人必须采取极其严厉的惩罚。",O,-1
119,"I try not to think about people in need.","我会有意不去想那些正处于水深火热中的弱势群体。",A,-1
120,"I often act first and think later.","我常常不经过大脑思考就采取行动。",C,-1
