question_id,dimension,direction,text_en,text_zh
1,SA,1,"I am very good at identifying the emotions I am feeling.","我能精准捕捉并识别自己当下的情绪状态。"
2,SA,1,"I am highly aware of how I am feeling (my moods, emotions, etc.).","我对自己的心境和情绪起伏有着极高的敏锐度。"
3,SA,1,"I use very specific words to talk about how I am feeling.","在表达感受时，我能用非常精准的词汇来描述我的情绪。"
4,SA,1,"I recognize emotions the moment I feel them.","情绪刚一冒头，我就能立刻察觉到它。"
5,SA,-1,"I find it hard to put how I am feeling into words.","我常常觉得“词不达意”，很难用语言描述清楚自己的感受。"
6,SA,1,"I describe my emotional experiences vividly.","我能非常生动、细腻地向他人描述我的情感体验。"
7,SA,1,"I have a rich emotional vocabulary.","我的大脑里有一个非常丰富的“情绪词汇库”。"
8,SA,1,"I am consistently aware of what kind of mood I'm in.","我总是很清楚自己正处于什么样的心境之中。"
9,SA,1,"I am good at keeping track of how I'm feeling throughout the day.","在这一整天里，我都能很好地追踪和留意自己的情绪变化。"
10,SA,-1,"I don't really like talking about the way I feel.","我其实很排斥跟别人谈论我的真实感受。"
11,SA,-1,"I often feel confused by what I'm feeling.","我经常对自己产生的情绪感到莫名其妙或一头雾水。"
12,SA,1,"I understand how my feelings influence my behavior.","我深知自己的情绪是如何在暗中影响我的行为和决定的。"
13,SA,1,"When I get up in the morning, I consciously reflect on how I feel.","每天早晨醒来，我会有意识地去感知一下自己今天的状态和心情。"
14,SA,1,"Talking about how I am feeling usually improves my mood.","把心里的感受倾诉出来，通常能让我心情舒畅不少。"
15,SA,-1,"I pay little attention to my emotions when there is a job to be done.","一旦手头有事要忙，我几乎完全顾不上照顾自己的情绪。"
16,ER,1,"I have control over my emotions.","我有能力驾驭自己的情绪。"
17,ER,1,"My emotions are under control.","我的情绪通常都在我的掌控范围之内。"
18,ER,-1,"I often get caught up in the heat of the moment.","遇到突发情况时，我经常会“上头”或者被情绪冲昏头脑。"
19,ER,1,"I move on very quickly from negative emotions and bad moods.","遇到不开心的事情，我能很快从负面情绪中“翻篇”。"
20,ER,-1,"Once something upsets me, I find it hard to calm myself back down.","一旦有什么事惹恼了我，我很难让自己迅速平复下来。"
21,ER,1,"My moods rarely affect my decisions.","我的决策很少会被一时的情绪波动所左右。"
22,ER,-1,"I am sometimes overwhelmed by my emotions.","我有时会被排山倒海的情绪彻底淹没，感到无所适从。"
23,ER,-1,"I often can't go about my day because of the emotions I am feeling.","我经常因为情绪太糟糕，导致一整天什么事都干不下去。"
24,ER,1,"I find it easy to cheer myself up when I am feeling sad or unmotivated.","感到低落或提不起劲的时候，我总有办法让自己重新振作起来。"
25,ER,1,"I don't let myself get carried away with my feelings.","我不会任由自己被情绪牵着鼻子走。"
26,ER,1,"I control my emotions; my emotions don't control me.","是我在控制情绪，而不是情绪在控制我。"
27,ER,1,"I rarely get angry.","我极少发火或暴怒。"
28,ER,1,"I stay calm under stress.","即使在巨大的压力下，我也能保持镇定自若。"
29,ER,-1,"In the heat of the moment, I sometimes say or do things I later regret.","在气头上时，我偶尔会说出或做出让自己事后懊悔不已的事情。"
30,ER,-1,"I am impulsive by nature.","骨子里，我是一个容易冲动行事的人。"
31,SE,-1,"I sometimes find it hard to figure out how people around me are feeling.","我有时真的搞不懂身边的人到底在想什么、感觉如何。"
32,SE,1,"I am very good at reading body language.","我非常擅长捕捉和解读他人的肢体语言。"
33,SE,1,"I have an acute sense of how people around me are feeling.","对于周围人的情绪变化，我有着极强的嗅觉和洞察力。"
34,SE,1,"I am easily upset by the pain of other people.","看到别人遭受痛苦，我也会感同身受地觉得非常难过。"
35,SE,1,"I am very good at reading nonverbal cues.","我很擅长解读那些“只可意会不可言传”的非语言暗示。"
36,SE,1,"I often feel compelled to act when I see someone suffering.","看到别人陷入困境时，我总是忍不住想要出手相助。"
37,SE,1,"I can often tell how people feel just by looking at them.","很多时候，我只需看人一眼，就能猜透他们的心思。"
38,SE,1,"I am a very empathetic person.","我是一个共情能力极强的人，很容易和别人产生共鸣。"
39,SE,1,"I understand a lot just from other people's facial expressions.","单靠观察别人的微表情，我就能读懂很多潜在的信息。"
40,SE,1,"I can tell if someone is upset without them having to say anything.","就算对方什么都不说，我也能敏锐地察觉到他的失落或不悦。"
41,SE,1,"I am good at understanding how people feel, even when they don't say so out loud.","即使别人把心事藏在肚子里，我也能精准地体会到他们的感受。"
42,SE,-1,"I sometimes find other people hard to read.","我有时觉得别人就像一本难懂的书，完全猜不透。"
43,SE,1,"I am very concerned about poverty and injustice in the world.","我对这个世界上的贫困和不公现象感到深深的关切。"
44,SE,-1,"I am not moved by other people's tragic stories.","别人的悲惨遭遇很难触动我，我通常没什么波澜。"
45,SE,1,"I can easily empathize with others' feelings.","我能毫不费力地站到别人的立场去体会他们的喜怒哀乐。"
46,RM,1,"I really enjoy socializing.","我发自内心地享受与人打交道的社交场合。"
47,RM,1,"I am confident in social situations.","在社交场合中，我总是表现得游刃有余、充满自信。"
48,RM,1,"I consider myself to be charming.","我认为自己是一个有吸引力、自带气场的人。"
49,RM,1,"I am very good at getting people to laugh.","我是个“气氛组选手”，总能轻易把别人逗乐。"
50,RM,1,"I have very good social skills.","我具备非常出色的人际交往手腕。"
51,RM,1,"I am a very persuasive person.","我具有很强的说服力，很容易让别人接受我的观点。"
52,RM,-1,"I don't really like networking.","我其实很反感那种刻意逢迎的功利性社交（Networking）。"
53,RM,-1,"I try not to draw attention to myself.","在人群中，我总是尽量降低存在感，不想引起别人的注意。"
54,RM,1,"I bring fun and excitement to social gatherings.","只要有我在的聚会，绝对少不了欢乐和高潮。"
55,RM,1,"I really enjoy getting to know people better.","我对深度了解别人充满热情，喜欢和人建立真实的连接。"
56,RM,1,"I have valuable friendships that I enjoy.","我拥有几段让我倍感珍惜和享受的高质量友谊。"
57,RM,-1,"I feel shy in social interactions.","在和人打交道时，我常常会觉得有些局促和害羞。"
58,RM,1,"I enjoy working together with others.","我非常享受和团队成员并肩作战、协同配合的感觉。"
59,RM,1,"I am a good listener.","我是一个绝佳的倾听者，别人都愿意对我敞开心扉。"
60,RM,1,"Other people see me as a warm and kind person.","在别人眼里，我是一个非常有温度、随和友善的人。"
